Year,Season,ALL,NED,VBMN,NNC,NCFL,SAR,FLK,CAR
1986,Winter,50746364.33,4388913.95,11080.05876,16300.28884,1907524.702,22743158.49,4131344.815,11191482.34
1986,Spring,75789343.92,7862500.882,552774.5471,775565.3406,12941375.04,29359084.77,6796791.02,10844521.89
1986,Summer,64770025.66,11088885.08,562646.146,712491.6597,6131158.173,26192867.11,4750858.098,7776023.978
1986,Fall,37446174.33,4947758.924,76453.70928,119327.1455,1239969.733,16748125.05,2788438.053,7008410.981
1987,Winter,24004808.95,1597505.516,8787.086195,8206.306062,1524755.556,9964744.082,3352046.552,4996330.632
1987,Spring,29086142.74,2045125.755,113878.8959,103597.3443,2175433.537,13824431.44,2115808.963,5837962.78
1987,Summer,24984352.24,3416206.669,509686.5255,293474.0183,2310318.909,10811207.27,2334717.186,2279143.505
1987,Fall,18168367.14,3175941.892,277810.8112,177406.4254,744679.6257,7334649.524,1610526.687,3163801.458
1988,Winter,23184222.09,2191700.625,10290.06263,6723.573758,440541.0547,10763291.99,2256276.534,4570689.813
1988,Spring,27904345.96,2686818.542,174280.8999,145143.0317,2135938.781,13701234.11,2628105.337,3854034.082
1988,Summer,32932359.42,6576763.163,538195.8984,626625.4056,2494005.636,12893441.15,3377046.619,3215113.442
1988,Fall,18204117.46,2912267.746,441936.0097,185648.1563,1009122.955,7790381.572,1482430.051,2638498.063
1989,Winter,37164854.47,4200575.119,35853.26884,23548.33061,1309342.904,17488760.83,2714525.835,7120370.509
1989,Spring,53244844.95,6510599.669,968570.3713,880244.7883,5583832.636,25690521.24,3750678.86,6244597.317
1989,Summer,59192340.17,11966682.1,1602458.935,1082927.42,5674743.471,23950653.99,4657811.24,4987848.737
1989,Fall,34847029.27,6832980.264,1477949.681,389602.8833,1731232.938,14496503.02,2515395.118,4179361.524
1990,Winter,52523625.8,5725163.692,46930.82304,46547.60377,2026491.485,25191373.71,2806031.63,8618153.949
1990,Spring,71231052.72,10556284.39,833518.5104,554033.2669,4717344.645,31982737.79,6103557.499,8265184.576
1990,Summer,67857052.18,10857388.89,881510.3177,454568.3259,4367014.589,30014775.76,5458686.959,7499587.316
1990,Fall,47885651.77,7063207.171,1124711.286,245105.426,2705883.631,20027854.75,5707626.526,6021220.074
1991,Winter,43053359.65,4032445.429,35352.17466,31099.9612,1865397.143,22561668.91,3317863.082,6237570.415
1991,Spring,60010420.17,7541579.744,550678.319,884850.1493,6488933.2,25907861.51,3567330.058,9355258.037
1991,Summer,61049316.8,9485947.833,1109947.944,969487.3238,6831317.64,23687019.78,5692890.089,6675966.145
1991,Fall,34879831.47,4788687.032,222610.0809,148962.2104,1917062.371,15869770.6,2955596.065,5166078.129
1992,Winter,53915167.29,5529290.536,32263.30492,39439.9485,1894464.617,27194370.64,3457836.302,9452048.015
